court,category,count,type,region,year,female_combined,male_combined,total_combined
Свердловский р/суд,total_victims,376.0,victim,,2022,,,
Аламудунский р/суд,total_victims,45.0,victim,,2022,,,
Сокулукский р/суд,total_victims,79.0,victim,,2022,,,
Жайылский р/суд,total_victims,70.0,victim,,2022,,,
Чуйский р/суд,total_victims,29.0,victim,,2022,,,
Московский р/суд,total_victims,63.0,victim,,2022,,,
Иссык-Атинский р/суд,total_victims,107.0,victim,,2022,,,
Кеминский р/суд,total_victims,51.0,victim,,2022,,,
Панфиловский р/суд,total_victims,44.0,victim,,2022,,,
Токмокский г/суд,total_victims,28.0,victim,,2022,,,
Ак-Сууйский р/суд,total_victims,24.0,victim,,2022,,,
Иссык-Кульский р/суд,total_victims,108.0,victim,,2022,,,
Жети-Огузский р/суд,total_victims,77.0,victim,,2022,,,
Каракольский г/суд,total_victims,68.0,victim,,2022,,,
Балыкчинский г/суд,total_victims,72.0,victim,,2022,,,
Тонский р/суд,total_victims,39.0,victim,,2022,,,
Тюпский р/суд,total_victims,75.0,victim,,2022,,,
Ошский г/суд,total_victims,112.0,victim,,2022,,,
Кара-Сууйский р/суд,total_victims,55.0,victim,,2022,,,
Узгенский р/суд,total_victims,13.0,victim,,2022,,,
Ноокатский р/суд,total_victims,39.0,victim,,2022,,,
Араванский р/суд,total_victims,1.0,victim,,2022,,,
Алайский р/суд,total_victims,6.0,victim,,2022,,,
Чон-Алайский р/суд,total_victims,9.0,victim,,2022,,,
Жалал-Абадский г/суд,total_victims,17.0,victim,,2022,,,
Сузакский р/суд,total_victims,21.0,victim,,2022,,,
Ноокенский р/суд,total_victims,20.0,victim,,2022,,,
Токтогульский р/суд,total_victims,24.0,victim,,2022,,,
Базаркоргонский р/суд,total_victims,22.0,victim,,2022,,,
Ташкумырский г/суд,total_victims,9.0,victim,,2022,,,
Аксыйский р/суд,total_victims,3.0,victim,,2022,,,
Майлуусуйский г/суд,total_victims,13.0,victim,,2022,,,
Чаткальский р/суд,total_victims,2.0,victim,,2022,,,
Кара-Кульский г/суд,total_victims,21.0,victim,,2022,,,
Тогу-Тороузский р/суд,total_victims,21.0,victim,,2022,,,
Ала-Букинский р/суд,total_victims,15.0,victim,,2022,,,
Нарынский г/суд,total_victims,67.0,victim,,2022,,,
Кочкорский р/суд,total_victims,98.0,victim,,2022,,,
